MovieID,description,
1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy‘s room.,
2,"When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.",
3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max&apos;s attention.",
4,"Based on Terry McMillan&apos;s novel, this film follows four very different African-American women and their relationships with men.",
5,"George Banks must deal not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",
6,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,
7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",
8,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,
9,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,
10,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as &quot;GoldenEye&quot; is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",
11,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It&apos;s all above-board, but &quot;politics is perception,&quot; and sparks fly anyway.",
12,Mel Brooks &apos; parody of the classic vampire story and its famous film adaptations.,
13,"An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.",
14,"A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.",
15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,
16,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",
17,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",
18,Four interlocking tales that take place in a fading hotel on New Year&apos;s Eve.,
19,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",
20,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",
21,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",
22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,
23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath&apos;s targets.,
24,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,
25,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",
26,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",
27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,
28,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduc",
29,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",
30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord&apos;s mistress.,
31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,
32,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",
33,"While flying mail across the Andean mountains, Henri Guillaumet&apos;s plane has to crash-land, he must trek back to civilizatin on foot.",
34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",
35,The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,
36,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim&apos;s families.",
37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searchi",
38,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",
39,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school&apos;s pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",
40,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.",
41,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,
42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",
43,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",
44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,
45,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,
46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,
47,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",
48,"The story takes place shortly after the discovery of the new world. A group of brave British pioneers, led by governor Raleigh and captain Zhuang Mais, went to the new world of America and met the beautiful native Princess baojiakangdi. Zhuang Maisi was deeply attracted by the beautiful Baojia Kangdi. Zhuang Maisi explained to her that the governor came here for gold, but he was happy to help the local aborigines build their homes; Baojia Kangdi said that people here have never seen gold. At this time, Zhuang Maisi learned that governor Raleigh could not dig gold, and had begun to attack the local tribes with the intention of seizing gold from them. He decided to stop all this and resolve the hatred between whites and locals.",
49,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",
50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",
51,"A wealthy playboy hires an attractive woman detective, turned bodyguard, to protect him from a psychotic seductress; the same woman who killed the detective&apos;s lover just months before.",
52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy&apos;s birth mother: a ditzy porn star and prostitute.",
53,"Immediately after the fall of communism in Albania, two Italians go there to embezzle investment money by creating a fake company. As the chairman/fall guy, they pick a former political prisoner who turns out to be more than meets th",
54,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.",
55,Sadie is desperately looking up to her older sister Georgia who is a famous C&amp;W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,
56,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil sabres and plastic armor. The summer fun and ",
57,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",
58,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.",
59,"The year is 1952, in Québec City, Québec. Rachel (Suzanne Clément), sixteen, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young Priest under the confidentiality of the confessional. In",
60,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend",
61,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",
62,A frustrated composer finds fulfillment as a high school music teacher.,
63,"A parody of several U.S. films about being in the &apos;Hood&apos;, for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",
64,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don&apos;t go as planned.,
65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",
66,"After the destruction of Virtual Space Industries at the end of the first film, Jobe is discovered in the rubble and is brought to the facilities of Jonathan Walker (Kevin Conway), a powerful corporate tycoon, where his face is recon",
67,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa&apos;s not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",
68,"After learning of her husband&apos;s infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",
69,"It&apos;s Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won&apos;t be a Saturday.",
70,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",
71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",
72,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",
73,A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.,
74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",
75,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",
76,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained sent",
77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same wom",
78,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,
79,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,
